,0
M4,61
P12_diff5,61
P4_diff1,59
V3_diff1,49
M4_diff1,45
E19_diff3,45
V3_diff5,44
P13,43
P3_diff5,42
M4_diff3,40
P3_diff3,40
P4_diff5,40
S2_rol_std_5,39
P4_rol_mean_5,37
M4_rol_std_5,37
S2_diff1,36
P13_diff1,36
E19_diff5,35
P4_diff3,35
P12_diff3,35
V3_diff3,34
P7_diff1,34
M4_diff5,34
P3_diff1,34
E19_diff1,33
P3_rol_std_5,33
V3_rol_std_10,31
S2_rol_std_10,31
P12_diff1,30
M9,30
S2_diff3,30
P4_rol_std_10,30
P3_rol_std_10,29
S5_diff1,29
P13_diff5,29
E2,28
P4_rol_std_5,28
S6_diff5,27
S6_diff1,26
S6_rol_std_5,26
E14,26
S2,25
P4_rol_mean_10,25
P3_rol_mean_5,25
S6_diff3,25
E8,24
E19_rol_std_5,24
V3,24
M4_rol_mean_5,24
V3_rol_mean_5,24
E19,23
S2_rol_mean_5,23
P7_diff5,23
M4_rol_std_10,23
P13_diff3,23
P4,23
M3,22
S6_rol_mean_10,22
P12,22
I1,22
I6,22
P13_rol_mean_10,22
P13_rol_std_5,21
S5_rol_std_5,21
P11,20
E15,20
E4,20
M4_rol_mean_10,20
I2,20
E19_rol_std_10,20
P1,19
S5_diff5,19
P9,18
P7,18
S5_rol_mean_10,17
V3_rol_std_5,17
S5_diff3,17
P7_rol_mean_5,17
P7_rol_std_5,17
S6,17
E3,16
S2_diff5,16
M7,16
I4,16
P3_rol_mean_10,16
P3,16
E19_rol_mean_5,16
I3,15
P7_rol_mean_10,15
S2_rol_mean_10,15
P12_rol_mean_10,15
I7,15
M15,15
M11,14
M12,14
P12_rol_mean_5,14
P12_rol_std_5,14
E19_rol_mean_10,14
V5,13
P12_rol_std_10,13
I9,13
P5,13
E11,13
S6_rol_std_10,13
I8,12
P7_diff3,12
P7_rol_std_10,12
V7,12
P10,12
M17,12
S5_rol_mean_5,11
P6,11
I5,11
V3_rol_mean_10,11
S7,10
S5,10
P13_rol_mean_5,10
M3_rol_std_5,10
V2,10
S5_rol_std_10,9
P13_rol_std_10,9
P8,9
P2,9
E18,8
M10,8
V13,7
M3_diff1,7
S6_rol_mean_5,7
E12,7
V4,7
S1,6
E20,6
M3_rol_mean_5,6
E6,6
E10,5
E13,5
E5,5
M3_diff5,5
M18,4
M3_rol_std_10,4
M3_diff3,4
E17,4
E9,4
E16,3
D6,2
E1,2
D9,2
M8,2
D5,1
D8,1
M3_rol_mean_10,1
