,0
P4_rol_std_60,1855.8
P3_rol_std_10,1770.8
P4_rol_std_5,1677.4
P3_rol_mean_20,1665.8
I7_rol_std_5,1637.2
M12_rol_std_5,1632.8
P3_rol_std_5,1626.8
P13_diff1,1608.8
E19_rol_std_5,1592.2
P12_diff5,1544.4
P3_diff2,1520.8
S2_rol_std_5,1517.6
I6_diff1,1512.4
P5_diff1,1498.6
E4_rol_std_30,1479.2
P12_diff1,1475.6
V5_diff5,1471.6
I8_diff2,1465.8
M15_diff1,1424.6
P3_diff5,1407.2
P1_diff1,1406.2
P3_diff1,1401.2
P4_diff5,1391.4
E19_diff1,1361.2
V2_diff2,1353.0
I4_diff5,1352.6
S6_diff1,1327.0
M12_diff2,1326.0
P4_rol_mean_5,1321.2
P4,1313.2
P4_diff10,1288.8
V2_diff1,1286.4
V3_diff10,1284.0
I6_diff5,1283.2
P3_diff10,1280.2
V3_diff5,1263.4
M12_diff5,1249.6
P7_diff1,1246.8
I4_diff10,1242.6
V3_diff2,1236.4
AE_51,1234.4
V3_diff1,1231.8
I4_diff1,1228.2
I7_diff1,1204.8
V5_diff10,1203.4
AE_2,1198.6
AE_41,1192.8
I6_diff3,1162.8
M12_diff1,1156.0
AE_50,1141.6
P4_diff1,1137.6
AE_54,1132.4
AE_36,1124.4
AE_20,1122.4
AE_27,1113.4
AE_37,1098.8
AE_12,1081.2
M9_diff2,1064.6
AE_1,1059.8
AE_45,1055.6
AE_9,1052.8
AE_18,1043.8
AE_7,1043.6
E19_diff2,1034.4
AE_5,1022.0
AE_10,1020.4
AE_33,1004.4
AE_21,994.2
E19_diff5,991.4
AE_46,989.6
M4_diff1,981.2
AE_38,980.4
AE_24,975.0
AE_26,971.2
AE_53,964.4
AE_44,951.8
AE_40,943.4
AE_0,936.8
AE_32,929.4
AE_22,926.0
E19_diff10,921.0
AE_34,916.2
AE_31,904.8
AE_25,898.2
AE_13,898.0
AE_6,897.8
AE_8,897.4
AE_3,897.0
M9_diff5,885.0
AE_14,880.0
M4_diff5,878.4
AE_42,878.4
E19_diff3,872.2
AE_43,869.0
AE_49,850.4
M4_diff10,840.8
AE_4,838.6
AE_15,830.6
AE_19,825.6
M4,809.8
M4_diff3,807.2
AE_23,803.6
AE_52,799.0
M9_diff1,799.0
AE_28,782.6
AE_17,763.6
AE_35,761.2
AE_16,752.2
M9_diff3,731.0
AE_30,709.2
AE_55,679.0
AE_39,667.6
AE_48,616.8
AE_47,603.6
AE_29,579.0
AE_11,576.6
