,0
E19,1.0
P13,1.0
P12,1.0
P4,1.0
P7,1.0
P3,1.0
M4,1.0
M3,1.0
M4_rol_mean_10,1.0
M4_diff1,1.0
M4_rol_mean_20,1.0
M4_rol_std_10,1.0
P4_rol_std_10,1.0
V3,1.0
P7_diff1,1.0
E19_diff1,1.0
P4_rol_mean_20,1.0
P4_rol_std_20,1.0
P4_rol_std_50,1.0
S2_diff1,1.0
S2_rol_std_10,1.0
S2_rol_std_20,1.0
P4_rol_mean_10,1.0
P4_diff1,1.0
S5,1.0
S2,1.0
P6,1.2
I4,1.2
S6,1.2
M4_rol_rank_30,1.2
S2_rol_mean_10,1.2
P4_rol_mean_50,1.2
E19_rol_std_10,1.2
E19_rol_rank_30,1.2
E4,1.4
I3,1.6
P9,1.6
M15,1.6
S2_rol_mean_50,1.6
V13,1.6
M9,1.6
P7_rol_mean_20,1.6
I6,1.8
E11,1.8
M4_rol_mean_50,1.8
S2_rol_std_50,1.8
P1,1.8
I7,1.8
E14,1.8
P5,2.0
V5,2.0
M11,2.2
I8,2.2
M7,2.4
M4_rol_std_20,2.4
I2,2.4
P7_rol_std_10,2.4
P7_rol_rank_30,2.4
P4_rol_rank_30,2.6
V7,2.6
P7_rol_std_20,2.6
P7_rol_mean_10,2.6
S2_rol_mean_20,2.8
I1,2.8
E19_rol_std_50,2.8
V4,2.8
E2,3.0
M12,3.0
E19_rol_std_20,3.0
S7,3.2
E13,3.2
E12,3.2
S2_rol_rank_30,3.2
V2,3.4
E15,3.6
P11,3.6
E19_x_D5,3.8
S4,4.0
S11,4.2
E19_rol_mean_10,4.2
M10,4.2
E9,4.2
M8,4.2
E19_rol_mean_20,4.4
E8,4.4
M17,4.4
S10,4.4
I9,4.6
E6,4.6
S2_x_D8,4.6
S9,4.8
E16,4.8
P10,5.0
S1,5.0
P2,5.0
E3,5.0
M4_rol_std_50,5.0
P7_rol_mean_50,5.2
E10,5.4
E18,5.4
P7_rol_std_50,5.6
M4_x_D5,5.6
E5,5.8
E19_rol_mean_50,5.8
M4_x_D9,5.8
P7_x_D5,5.8
P8,5.8
P4_x_D9,6.0
P7_x_D9,6.2
M18,6.2
E20,6.2
E19_x_D8,6.4
E17,6.4
S2_x_D9,6.4
P4_x_D8,6.4
I5,6.4
P4_x_D5,6.4
P7_x_D8,6.4
E1,6.6
S2_x_D5,6.6
M4_x_D8,6.8
D7,6.8
V6,7.0
D6,7.2
E19_x_D9,7.2
V8,7.4
V12,7.4
D9,7.6
D4,7.6
V1,7.6
M16,7.8
V11,7.8
D8,8.0
D5,8.0
D2,8.0
D1,8.0
D3,8.0
