,0
D1,1.0
resp_1d,1.0
I2,1.0
E8,1.0
E16,1.0
E14,1.0
E12,1.0
E11,1.0
D9,1.0
E1,1.0
D4,1.0
D3,1.0
D7,1.0
D8,1.0
D6,1.0
D5,1.0
E10,1.0
M9_rol_mean_20,1.4
M9_rol_mean_10,1.4
P1_rol_std_10,1.4
P1_rol_std_30,1.4
M9_rol_mean_5,1.4
P1_rol_std_20,1.4
M9_diff1,1.4
P1_rol_std_60,1.4
M9_diff3,1.8
P1_rol_mean_60,1.8
P1_rol_mean_30,1.8
M9_diff10,1.8
M9_diff5,1.8
P1_rol_std_5,1.8
M9_rol_mean_30,1.8
M9_diff2,2.0
S6_rol_std_60,2.0
P5_diff3,2.0
P1_rol_mean_20,2.2
S6_rol_mean_30,2.2
S6_rol_std_30,2.2
S6_rol_mean_60,2.2
S6_rol_mean_20,2.2
S6_diff2,2.2
P1_rol_mean_10,2.2
M9_rol_mean_60,2.2
P1_diff5,2.2
P1_diff10,2.2
P1_rol_mean_5,2.2
I6_diff1,2.4
S6_rol_std_5,2.4
S6_rol_mean_10,2.4
I6_diff2,2.4
I6_diff3,2.4
P1_diff1,2.6
M9_rol_std_20,2.6
M9_rol_std_60,2.6
S6_diff5,2.6
M9_rol_std_5,2.6
S6_diff3,2.6
P1_diff2,2.6
M9_rol_std_30,2.6
P1_diff3,2.6
M9_rol_std_10,2.6
S6_rol_std_20,2.6
S6_rol_std_10,2.6
S6_diff10,2.6
S6_rol_mean_5,2.6
M3_rol_std_60,3.0
M3_rol_std_10,3.0
I6_rol_mean_10,3.0
S6_diff1,3.0
V13_rol_std_10,3.0
E15,3.0
M3_rol_std_30,3.0
M3_rol_std_20,3.0
E18,3.0
E13,3.0
E19,3.0
V13_rol_std_30,3.0
P5_diff5,3.2
M3_rol_std_5,3.2
M3_rol_mean_30,3.2
M3_rol_mean_60,3.2
I6_diff10,3.4
I6_rol_mean_5,3.4
S2_diff10,3.4
I6_diff5,3.4
S2_rol_std_20,3.4
S2_rol_std_10,3.4
M3_rol_mean_20,3.4
P5_diff10,3.4
S2_rol_std_5,3.4
V3_rol_std_60,3.6
V3_rol_std_30,3.6
S2_diff5,3.6
V3_rol_std_20,3.6
S2_rol_mean_30,3.6
S2_rol_mean_60,3.6
S2_diff1,3.6
V3_rol_std_10,3.6
V3_rol_mean_10,3.6
V3_rol_mean_60,3.8
S2_diff3,3.8
V3_rol_mean_5,3.8
V3_rol_mean_20,3.8
M4_rol_std_20,3.8
V3_rol_mean_30,3.8
S2_diff2,3.8
V3_rol_std_5,3.8
M3_diff2,3.8
V3_diff10,3.8
V3_diff3,3.8
V3_diff5,3.8
M4_rol_std_30,3.8
M3_rol_mean_5,3.8
S2_rol_std_60,3.8
S5_diff2,3.8
M4_rol_std_60,3.8
V3_diff1,3.8
V3_diff2,3.8
M3_diff10,3.8
M3_rol_mean_10,3.8
M3_diff3,3.8
M3_diff5,3.8
S5_rol_std_60,4.0
M4_rol_std_5,4.0
P5_diff2,4.0
M3_diff1,4.0
M4_rol_std_10,4.0
P12_rol_mean_10,4.0
M4_rol_mean_20,4.0
M4_rol_mean_10,4.0
M4_rol_mean_30,4.0
M4_rol_mean_60,4.0
V13_rol_std_20,4.0
S2_rol_mean_5,4.0
V13_rol_std_60,4.0
I6_rol_mean_20,4.0
I6_rol_mean_30,4.0
S2_rol_std_30,4.2
S5_rol_mean_60,4.2
S2_rol_mean_20,4.2
S5_rol_std_30,4.2
S5_rol_std_10,4.2
S5_rol_std_5,4.2
P2,4.2
M4_rol_mean_5,4.2
M4_diff10,4.2
S2_rol_mean_10,4.2
S5_rol_std_20,4.2
P5_rol_mean_5,4.4
M4_diff2,4.4
M15_diff5,4.4
M4_diff5,4.4
M4_diff1,4.4
M15_rol_std_60,4.4
M4_diff3,4.4
P13_rol_std_5,4.4
M15_diff3,4.4
M15_diff2,4.4
P13_rol_std_10,4.4
S5_rol_mean_10,4.4
S5_diff1,4.4
S5_diff5,4.4
S5_rol_mean_20,4.4
S5_rol_mean_30,4.4
P13_rol_std_60,4.6
M15_diff1,4.6
P13_rol_std_20,4.6
P13_rol_mean_60,4.6
P13_rol_mean_10,4.6
P13_rol_mean_5,4.6
P13_diff10,4.6
P13_diff5,4.6
M15_rol_mean_30,4.6
M15_rol_std_20,4.6
P13_rol_std_30,4.6
M15_rol_std_5,4.6
M15_rol_std_30,4.6
M15_rol_mean_60,4.6
M15_diff10,4.6
M15_rol_std_10,4.6
S5_diff3,4.6
P13_diff1,4.8
P7_rol_std_60,4.8
P13_diff2,4.8
M15_rol_mean_20,4.8
P13_rol_mean_30,4.8
M15_rol_mean_5,4.8
M15_rol_mean_10,4.8
