,0
I4,1.0
E19,1.0
P12,1.0
P3,1.0
P7,1.0
P13,1.0
P4,1.0
M4,1.0
M4_rol_mean_10,1.0
M4_rol_std_10,1.0
M4_diff1,1.0
M4_rol_mean_20,1.0
S2_rol_std_20,1.0
S2_rol_std_10,1.0
E19_rol_std_10,1.0
E19_diff1,1.0
P4_diff1,1.0
P4_rol_mean_10,1.0
P4_rol_std_10,1.0
P4_rol_mean_20,1.0
P4_rol_std_20,1.0
P4_rol_mean_50,1.0
P4_rol_std_50,1.0
S2_diff1,1.0
M4_rol_mean_50,1.0
V3,1.0
S6,1.0
S2,1.0
P7_diff1,1.0
I6,1.2
S2_rol_std_50,1.2
I7,1.2
E19_rol_rank_30,1.2
S2_rol_mean_20,1.4
S2_rol_mean_10,1.4
P1,1.4
S5,1.4
M4_rol_rank_30,1.4
V2,1.4
M3,1.4
P5,1.6
P7_rol_std_10,1.6
M15,1.6
P6,1.8
V13,1.8
P4_rol_rank_30,1.8
E4,1.8
M7,1.8
P7_rol_mean_10,1.8
S2_rol_mean_50,2.0
M4_rol_std_20,2.0
V5,2.0
I3,2.0
I1,2.2
E14,2.2
M11,2.2
I2,2.2
E19_rol_std_20,2.4
P9,2.4
P7_rol_mean_20,2.6
V4,2.6
S2_rol_rank_30,2.6
P7_rol_rank_30,2.6
I8,2.8
S7,2.8
E13,2.8
M12,2.8
E19_rol_std_50,3.0
E11,3.0
M9,3.0
E8,3.2
P7_rol_std_20,3.2
P11,3.4
E19_rol_mean_10,3.4
M8,3.8
E12,3.8
V7,3.8
M10,4.0
S1,4.0
M4_rol_std_50,4.0
E2,4.0
E15,4.2
E19_rol_mean_20,4.2
E9,4.2
E6,4.2
E3,4.2
P7_rol_std_50,4.4
P7_rol_mean_50,4.6
P10,4.6
I9,4.6
E18,4.6
S4,4.6
M17,4.8
E16,4.8
P8,4.8
S9,4.8
E19_x_D5,4.8
S10,4.8
E10,5.0
M4_x_D5,5.0
E19_rol_mean_50,5.0
P2,5.0
I5,5.2
E17,5.2
S11,5.4
M2,5.4
E5,5.6
S2_x_D8,5.8
M18,5.8
E1,5.8
AE_22,5.8
S2_x_D9,6.0
P7_x_D5,6.0
AE_4,6.0
E20,6.0
AE_16,6.2
E19_x_D8,6.2
S2_x_D5,6.2
P7_x_D9,6.2
P4_x_D9,6.2
AE_5,6.4
P7_x_D8,6.4
S8,6.4
P4_x_D8,6.4
P4_x_D5,6.6
M4_x_D9,6.6
M5,6.6
M4_x_D8,6.6
AE_19,6.6
AE_34,6.6
AE_20,6.6
AE_13,6.6
AE_32,6.8
AE_18,6.8
AE_3,7.0
AE_24,7.0
E19_x_D9,7.0
AE_11,7.4
AE_31,7.4
AE_21,7.4
D7,7.4
AE_1,7.4
AE_27,7.6
D6,7.6
AE_15,7.6
AE_26,7.8
AE_8,7.8
D4,7.8
V1,7.8
AE_28,7.8
AE_33,7.8
V6,8.0
D5,8.2
D8,8.2
AE_0,8.2
AE_30,8.2
AE_10,8.2
D9,8.2
V12,8.2
V8,8.4
AE_25,8.4
AE_23,8.4
AE_29,8.4
AE_17,8.4
AE_14,8.4
AE_12,8.4
AE_9,8.4
D3,8.6
AE_6,8.6
AE_7,8.6
M16,8.6
D2,8.8
V11,8.8
D1,8.8
AE_2,8.8
