,fold_1,fold_2,fold_3,fold_4,fold_5,average
M4,1,2,2,11,8,4.8
M4_rol_mean_50,1,2,0,5,3,2.2
P6,0,0,1,7,2,2.0
P13,1,1,1,4,3,2.0
V13,2,0,0,3,5,2.0
E19_rol_std_10,0,0,0,6,3,1.8
AE_9,0,1,1,6,1,1.8
AE_10,0,1,1,5,1,1.6
I2,0,0,1,7,0,1.6
M4_rol_std_10,1,0,1,3,2,1.4
M4_diff1,0,1,2,3,1,1.4
M4_rol_mean_20,0,0,1,4,2,1.4
E19_diff1,0,0,0,5,2,1.4
E12,0,1,0,4,2,1.4
S5,1,0,0,5,0,1.2
S8,1,1,0,1,3,1.2
P8,0,0,0,1,5,1.2
P3,1,0,1,3,1,1.2
P7_rol_std_10,0,0,0,6,0,1.2
AE_14,0,1,1,2,2,1.2
AE_11,3,0,0,0,3,1.2
P7_diff1,1,1,0,1,3,1.2
P7_rol_mean_10,0,0,0,5,0,1.0
M4_x_D5,0,0,1,3,1,1.0
S12,1,0,0,1,3,1.0
AE_0,0,0,2,1,2,1.0
S2_rol_mean_50,0,0,0,3,2,1.0
AE_15,0,0,0,3,2,1.0
AE_2,1,1,0,3,0,1.0
S2_rol_mean_20,1,1,1,1,1,1.0
E17,1,0,0,1,3,1.0
E11,0,0,1,2,2,1.0
S2_rol_std_10,0,0,1,3,1,1.0
P4,1,1,0,2,0,0.8
M2,0,3,0,1,0,0.8
M15,0,0,1,2,1,0.8
M9,1,0,0,3,0,0.8
AE_12,1,1,0,0,2,0.8
P10,0,0,0,4,0,0.8
M4_rol_mean_10,0,1,1,2,0,0.8
V7,1,0,0,0,3,0.8
AE_1,0,0,0,2,2,0.8
P4_rol_mean_20,0,0,0,3,1,0.8
P7_rol_mean_50,1,0,0,2,1,0.8
E19,0,0,0,2,1,0.6
S2_diff1,1,0,0,2,0,0.6
E19_rol_std_50,0,0,0,3,0,0.6
AE_13,0,0,0,3,0,0.6
S2_rol_mean_10,0,1,0,0,2,0.6
P12,0,0,0,2,1,0.6
V3,0,0,0,3,0,0.6
P1,1,0,0,0,2,0.6
P4_rol_mean_50,0,0,1,2,0,0.6
P5,0,0,0,2,1,0.6
M11,0,0,1,2,0,0.6
E18,0,0,0,3,0,0.6
E2,1,0,0,1,1,0.6
S2_rol_std_20,0,0,1,0,1,0.4
S2_rol_std_50,0,0,0,2,0,0.4
S6,0,0,0,1,1,0.4
S1,0,1,0,1,0,0.4
E14,0,1,0,0,1,0.4
I8,1,0,0,1,0,0.4
I1,0,0,0,1,1,0.4
E7,0,0,0,1,1,0.4
I6,0,0,0,2,0,0.4
I3,0,0,0,2,0,0.4
I7,0,0,0,1,1,0.4
E16,0,0,0,1,1,0.4
E19_x_D8,1,0,0,0,1,0.4
E19_rol_rank_30,0,0,0,2,0,0.4
AE_3,0,0,0,0,2,0.4
AE_4,0,0,1,1,0,0.4
AE_7,0,0,0,2,0,0.4
P7_rol_mean_20,0,0,0,0,2,0.4
S2_rol_rank_30,0,0,0,1,1,0.4
E19_x_D5,0,0,0,0,2,0.4
E19_rol_mean_10,0,0,0,2,0,0.4
P4_rol_std_50,0,1,0,0,1,0.4
P4_rol_mean_10,1,0,0,0,1,0.4
M4_rol_rank_30,0,1,0,0,1,0.4
P4_rol_std_20,0,0,0,2,0,0.4
M12,0,0,1,0,1,0.4
M17,0,0,1,1,0,0.4
M3,0,1,0,1,0,0.4
S2,0,0,0,2,0,0.4
P9,0,0,0,1,1,0.4
M8,0,0,0,2,0,0.4
P7,1,0,1,0,0,0.4
S11,0,1,0,0,1,0.4
V9,0,1,0,1,0,0.4
E19_rol_mean_20,0,1,0,1,0,0.4
E3,0,0,1,0,0,0.2
E1,0,0,0,1,0,0.2
I5,0,0,0,1,0,0.2
E4,0,0,0,0,1,0.2
D8,0,0,0,1,0,0.2
E6,0,0,0,0,1,0.2
P7_x_D5,0,0,0,1,0,0.2
E13,0,0,0,0,1,0.2
E20,0,0,0,0,1,0.2
P7_x_D9,0,0,0,0,1,0.2
AE_6,0,0,0,1,0,0.2
P7_rol_std_20,0,0,0,0,1,0.2
M4_rol_std_50,0,1,0,0,0,0.2
I9,0,0,1,0,0,0.2
M7,0,0,0,0,1,0.2
M10,0,0,0,1,0,0.2
M5,0,0,0,1,0,0.2
V5,0,0,0,1,0,0.2
M4_rol_std_20,0,0,0,1,0,0.2
V4,0,0,0,0,1,0.2
S4,0,0,0,0,1,0.2
E19_rol_std_20,0,0,0,0,1,0.2
P4_diff1,0,0,0,1,0,0.2
P4_rol_rank_30,0,0,0,1,0,0.2
E19_rol_mean_50,0,0,0,1,0,0.2
P11,1,0,0,0,0,0.2
P2,0,0,0,1,0,0.2
S7,0,0,0,1,0,0.2
V12,0,0,0,0,1,0.2
P7_rol_rank_30,0,0,0,0,1,0.2
D6,0,0,0,0,0,0.0
E10,0,0,0,0,0,0.0
E9,0,0,0,0,0,0.0
D9,0,0,0,0,0,0.0
D3,0,0,0,0,0,0.0
D4,0,0,0,0,0,0.0
D1,0,0,0,0,0,0.0
D2,0,0,0,0,0,0.0
D5,0,0,0,0,0,0.0
D7,0,0,0,0,0,0.0
E15,0,0,0,0,0,0.0
I4,0,0,0,0,0,0.0
E5,0,0,0,0,0,0.0
E8,0,0,0,0,0,0.0
V8,0,0,0,0,0,0.0
S9,0,0,0,0,0,0.0
V1,0,0,0,0,0,0.0
V10,0,0,0,0,0,0.0
S10,0,0,0,0,0,0.0
S3,0,0,0,0,0,0.0
M1,0,0,0,0,0,0.0
M6,0,0,0,0,0,0.0
M18,0,0,0,0,0,0.0
M13,0,0,0,0,0,0.0
M14,0,0,0,0,0,0.0
M16,0,0,0,0,0,0.0
V11,0,0,0,0,0,0.0
V6,0,0,0,0,0,0.0
V2,0,0,0,0,0,0.0
S2_x_D9,0,0,0,0,0,0.0
M4_x_D9,0,0,0,0,0,0.0
P4_rol_std_10,0,0,0,0,0,0.0
P4_x_D5,0,0,0,0,0,0.0
P4_x_D9,0,0,0,0,0,0.0
P4_x_D8,0,0,0,0,0,0.0
M4_x_D8,0,0,0,0,0,0.0
S2_x_D8,0,0,0,0,0,0.0
S2_x_D5,0,0,0,0,0,0.0
E19_x_D9,0,0,0,0,0,0.0
P7_x_D8,0,0,0,0,0,0.0
P7_rol_std_50,0,0,0,0,0,0.0
AE_5,0,0,0,0,0,0.0
AE_8,0,0,0,0,0,0.0
