,fold_1,fold_2,fold_3,fold_4,fold_5,average
M4,0.003327846003230661,0.00493739009834826,0.019867710303515196,0.005558099946938455,0.01583656982984394,0.009905523236375302
M4_rol_std_10,0.0,0.0,0.020397639949806035,0.0,0.0034708300372585654,0.00477369399741292
AE_11,0.0,0.0,0.010234579909592867,0.004923219792544842,0.006027959985658526,0.004237151937559247
P4_diff1,0.0,0.0024275199975818396,0.009011620073579252,0.0013371900422498584,0.00787778990343213,0.004130824003368616
P11,0.0,0.0,0.007606959901750088,0.004105149768292904,0.008614270016551018,0.004065275937318802
AE_3,0.0,0.0,0.01741791982203722,0.0,0.0,0.003483583964407444
M4_rol_rank_30,0.0,0.0,0.01496014988515526,0.0,0.0018355499487370253,0.0033591399667784573
E16,0.0,0.0,0.00690039002802223,0.003949979902245104,0.0055568101815879345,0.0032814360223710538
E12,0.0,0.0022510599810630083,0.009708249941468239,0.0020964599680155516,0.0017005900153890252,0.0031512719811871647
P7_rol_mean_50,0.0009472700185142457,0.0015805800212547183,0.003834119997918606,0.0,0.00902637979015708,0.00307766996556893
P5,0.0019185739802196622,0.0,0.0,0.0021250001154839993,0.010151799768209457,0.002839074772782624
P7_rol_mean_20,0.0011497699888423085,0.0,0.009891609894111753,0.0,0.0018740299856290221,0.0025830819737166165
P3,0.001142179942689836,0.002831389894708991,0.00491741020232439,0.0,0.0038741499884054065,0.0025530260056257246
V9,0.0,0.0,0.009187619900330901,0.0,0.0033365399576723576,0.002504831971600652
S8,0.0,0.0,0.010048550087958574,0.0013659599935635924,0.0,0.0022829020163044333
S2_rol_mean_20,0.0,0.0,0.0,0.0,0.010891680140048265,0.002178336028009653
P9,0.0006308080046437681,0.0,0.001325060031376779,0.002608459908515215,0.006298230029642582,0.002172511594835669
E19_rol_mean_10,0.0,0.004008229938335717,0.0028595500625669956,0.0,0.0033981800079345703,0.0020531920017674565
S2_diff1,0.0006184999947436154,0.0,0.009231620002537966,0.0,0.0,0.0019700239994563163
P7_rol_std_10,0.0,0.0,0.009209919953718781,0.0,0.0,0.0018419839907437563
E19_diff1,0.0010427599772810936,0.0,0.0013207499869167805,0.0,0.0066952299093827605,0.0018117479747161269
M4_rol_mean_20,0.0,0.005468489835038781,0.003027880098670721,0.0,0.0,0.0016992739867419005
M5,0.0,0.0,0.0038802401395514607,0.004540979862213135,0.0,0.0016842440003529192
S1,0.0,0.0,0.002822059905156493,0.0,0.005415950086899102,0.001647601998411119
P12,0.0,0.0,0.005345350014977157,0.002764730015769601,0.0,0.0016220160061493516
V7,0.0008635059930384159,0.0,0.0037503798957914114,0.003195619909092784,0.0,0.0015619011595845223
M9,0.0006998549797572196,0.0,0.006991650094278157,0.0,0.0,0.0015383010148070752
V13,0.0,0.0,0.0043601898942142725,0.0032978400122374296,0.0,0.0015316059812903403
E19,0.0,0.003750520059838891,0.0016697499668225646,0.0,0.002096859971061349,0.001503425999544561
P7,0.0,0.0,0.002268519951030612,0.0029288700316101313,0.0021594299469143152,0.0014713639859110117
S12,0.0,0.0,0.00717051001265645,0.0,0.0,0.00143410200253129
E8,0.0,0.0,0.007072360021993518,0.0,0.0,0.0014144720043987036
P4_rol_std_20,0.0006624020170420408,0.0,0.006261229980736971,0.0,0.0,0.0013847263995558023
S2,0.0,0.0,0.003564500017091632,0.0016672300407662988,0.0013611499452963471,0.0013185760006308555
