,fold_1,fold_2,fold_3,fold_4,fold_5,average
M4,0.4210873022675514,0.6079370081424713,4.290571579593234,0.24030854739248753,5.288004252128303,2.1695817379048092
M4_rol_rank_30,0.42603929981123656,0.18589700013399124,5.094012202695012,0.5789140090346336,2.9393090158700943,1.8448343055089935
M4_diff1,0.0,0.38244010508060455,2.9063975603785366,0.1961318999528885,2.560258836951107,1.2090456804726273
M3,0.0,0.0,3.1495845150202513,0.08244989812374115,1.9774921964854002,1.0419053219258785
S2,0.28766350354999304,0.2291306033730507,1.9202804183587432,0.332566000521183,2.358982461737469,1.0257245975080878
E19_rol_mean_20,0.3452739045023918,0.0,2.216267265321221,0.18881399929523468,2.1708752615377307,0.9842460861313157
P12,0.0,0.09783130139112473,1.400288729928434,0.467071695253253,2.941632785834372,0.9813649024814367
V13,0.0,0.0,2.249648458091542,0.0,2.5878186859190464,0.9674934288021177
P7,0.5485765933990479,0.22403499484062195,1.9645689600147307,0.127470001578331,1.9609219073317945,0.9651144914329052
M9,0.0955404993146658,0.21185970678925514,1.7501111812889576,0.3720249980688095,2.367442703805864,0.9593958178535104
S2_rol_mean_20,0.0,0.05585389956831932,1.7366059480700642,0.0,2.85917369578965,0.9303267086856067
E19_diff1,0.17237750440835953,0.1721400022506714,2.0756524056196213,0.0,2.064428989775479,0.8969197804108262
P3,0.13089100271463394,0.0,1.9250423561315984,0.11298199743032455,2.2225441918708384,0.878291909629479
P7_diff1,0.0,0.04825200140476227,1.9087335985386744,0.23192539438605309,2.122961290180683,0.8623744569020346
P4_rol_mean_10,0.0,0.18083250522613525,2.0263404976576567,0.03720869868993759,1.9101069564931095,0.8308977316133678
M4_rol_mean_20,0.2552037015557289,0.10582800209522247,1.2356245224364102,0.1103913001716137,2.422803883906454,0.8259702820330859
P4_diff1,0.03442079946398735,0.009177000261843204,2.13256530277431,0.19974340125918388,1.7357683153823018,0.8223349638283253
P4_rol_std_20,0.2114003812894225,0.0,1.1477604202227667,0.0,1.9969319242227357,0.671218545146985
S2_rol_std_20,0.0061920699663460255,0.08557520061731339,1.4357927991077304,0.07651030272245407,1.6930835268867668,0.6594307798601221
E19,0.04197419993579388,0.0,1.220426277955994,0.06396889686584473,1.9649333003908396,0.6582605350296944
P6,0.0,0.45922600477933884,1.369982399046421,0.17402000725269318,1.2694780882447958,0.6545412998646498
E19_rol_mean_10,0.03674149885773659,0.0,1.5069098184467293,0.0,1.683478508144617,0.6454259650898166
S2_rol_std_10,0.28056810051202774,0.0,1.8535661436617374,0.04231850057840347,1.0181275593931787,0.6389160608290695
E19_rol_std_20,0.0,0.02770010009407997,0.9630215903744102,0.32096219435334206,1.8681639302521944,0.6359695630148053
S9,0.0,0.0,0.5142530975863338,0.05329189822077751,2.583535804413259,0.6302161600440741
S6,0.05612145969644189,0.0,1.1988361002877355,0.0,1.8797481248620898,0.6269411369692535
P4_rol_mean_20,0.03978579863905907,0.1177619993686676,1.3715699892491102,0.0,1.6001025108853355,0.6258440596284345
P13,0.05260249972343445,0.0,1.8725624019280076,0.059151601046323776,1.1427699537016451,0.6254172912798822
AE_16,0.0,0.12029600143432617,1.423235509544611,0.0,1.4047679901123047,0.5896599002182483
E19_rol_std_10,0.11724049970507622,0.06986869871616364,1.3921546549536288,0.0,1.291512300260365,0.5741552307270468
S5,0.0,0.1653296947479248,0.7889470010995865,0.1674409955739975,1.7303207386285067,0.5704076860100031
S2_diff1,0.0,0.17727579921483994,1.614178684540093,0.17415489489212632,0.8850815403275192,0.5701381837949157
P7_rol_std_10,0.0,0.21193340048193932,1.4274633722379804,0.15560400485992432,1.032964937039651,0.565593142923899
M4_rol_mean_10,0.0,0.14668739959597588,0.9578761523589492,0.07050699926912785,1.630769501440227,0.561168010532856
P9,0.0,0.2806992009282112,1.2134371944703162,0.0,1.2762640956789255,0.5540800982154905
P7_rol_rank_30,0.22924170270562172,0.37210600078105927,1.00892910733819,0.0,1.1381079070270061,0.5496769435703754
M8,0.0,0.0,1.3513037855736911,0.0,1.3854743572883308,0.5473556285724044
P5,0.0,0.06292220205068588,1.4309827955439687,0.0222788006067276,1.1912655048072338,0.5414898606017232
P4,0.04106619954109192,0.06466270238161087,1.1920262854546309,0.0,1.391083994647488,0.5377678364049643
M4_rol_std_10,0.0,0.06230190023779869,0.5749675733968616,0.36276309937238693,1.6705532085616142,0.5341171563137322
V5,0.0,0.0,1.2907185927033424,0.0,1.3739334240090102,0.5329304033424705
P4_rol_std_50,0.0,0.04457569867372513,1.1339202675153501,0.0,1.4679448986425996,0.529288172966335
S2_rol_rank_30,0.0,0.0,1.1385400858707726,0.17418310418725014,1.3180781921837479,0.5261602764483542
M12,0.0,0.0,1.1782174347899854,0.3719702921807766,1.0739433923736215,0.5248262238688767
P4_rol_std_10,0.24829909950494766,0.0,1.0560561218298972,0.07434000074863434,1.2121606306172907,0.5181711705401539
M7,0.046187400817871094,0.1377677023410797,0.7550438856706023,0.0,1.6339857913553715,0.514596956036985
I3,0.0,0.0,1.1768901087343693,0.0,1.3033337099477649,0.4960447637364268
M11,0.0,0.0,1.2118071988224983,0.2203965038061142,1.0367617076262832,0.49379308205097916
E12,0.0,0.1629151999950409,1.0683113103732467,0.0,1.2320689180778572,0.49265908568922895
I2,0.055254701524972916,0.13742630183696747,1.5394283379428089,0.06469939835369587,0.6633675922639668,0.49203526638448236
S7,0.0,0.20989919640123844,1.2487425915896893,0.0707181990146637,0.915124770719558,0.4888969515450299
M4_rol_std_50,0.0,0.12883299589157104,0.7388132712803781,0.006483190227299929,1.504928532987833,0.4758115980774164
S2_rol_std_50,0.023892000317573547,0.14338700473308563,1.159618589474121,0.09628400206565857,0.8893106607720256,0.4624984514724929
P10,0.0,0.0,0.8770843930542469,0.014687599614262581,1.4088682979345322,0.4601280581206083
M4_rol_mean_50,0.0,0.0,1.0085150683298707,0.0,1.2917761113494635,0.4600582359358668
S2_rol_mean_10,0.13676530122756958,0.15837159752845764,0.805057805031538,0.011016500182449818,1.158065806608647,0.45385540211573244
E13,0.0,0.0,0.9315518923103809,0.0,1.3339082933962345,0.45309203714132307
V3,0.0,0.0,1.2934254156425595,0.14542020112276077,0.8234257247095229,0.45245426829496865
P7_rol_std_50,0.0,0.0,0.8681409955024719,0.10749480128288269,1.2782309129834175,0.4507733419537544
S2_rol_mean_50,0.0,0.0,1.2091233083046973,0.11697589978575706,0.9082763008773327,0.4468751017935574
I1,0.173512801527977,0.07966279983520508,0.9583181031048298,0.21272410452365875,0.8009922988712788,0.4450420215725899
I6,0.05123009905219078,0.14072300493717194,1.0587669955566525,0.0,0.951540601439774,0.44045214019715784
M15,0.0,0.0,0.8241720189107582,0.07459170371294022,1.2306808987632394,0.42588892427738756
S12,0.0,0.0,0.2648553978651762,0.19074499607086182,1.6606987928971648,0.4232598373666406
M4_rol_std_20,0.051118701696395874,0.05023540183901787,0.8139693085104227,0.0,1.183393367100507,0.4197433558292687
I8,0.0,0.0,0.6378157353028655,0.06702280044555664,1.3854978741146624,0.4180672819726169
P7_rol_mean_50,0.0,0.0,0.8473159959539771,0.0,1.1788304944057018,0.40522929807193575
S4,0.0,0.0,1.009029306937009,0.0,1.013359013479203,0.4044776640832424
V2,0.0,0.0,0.640259956009686,0.0,1.2215554148133378,0.3723630741646048
E6,0.0,0.1164809986948967,0.9089380468067247,0.18551500141620636,0.6237201569601893,0.36693084077560345
V7,0.0,0.12679199874401093,1.1373064881190658,0.0,0.5592385684140027,0.3646674110554159
E11,0.0,0.09137149900197983,0.6490664975717664,0.19691519998013973,0.8488343213684857,0.3572375035844743
E16,0.0,0.0,0.5130912996828556,0.01910099945962429,1.1978117041289806,0.3460008006542921
E4,0.015076300129294395,0.0710258036851883,0.6563486028462648,0.0509428009390831,0.9279353991150856,0.34426578134298325
E15,0.0,0.0,0.351473992690444,0.08747590333223343,1.281809026375413,0.3441517844796181
I7,0.0,0.010830099694430828,0.98720226471778,0.0,0.5848521189764142,0.31657689667772504
P11,0.0,0.00383090996183455,0.25371039658784866,0.0,1.253533745650202,0.30221501043997706
I4,0.0,0.0641017034649849,0.41826948430389166,0.0,1.0038840994238853,0.2972510574385524
S10,0.0,0.0,0.563781532458961,0.0,0.8709038998931646,0.28693708647042515
P4_rol_rank_30,0.0,0.0,0.8205727972090244,0.0,0.5835430989973247,0.2808231792412698
AE_4,0.0,0.0,0.4151730015873909,0.0,0.982804000377655,0.2795954003930092
AE_11,0.0,0.0,0.36727630347013474,0.16567300260066986,0.8571151047945023,0.27801288217306136
E14,0.04356670007109642,0.0,0.6438061157241464,0.0,0.6605046009644866,0.26957548335194587
E19_x_D5,0.0,0.0,1.337175503373146,0.0,0.0,0.2674351006746292
M18,0.0,0.0,0.4954886611085385,0.0,0.7834099028259516,0.25577971278689804
P4_rol_mean_50,0.0,0.0,0.5455680461600423,0.049481101334095,0.6346105001866817,0.2459319295361638
P7_rol_std_20,0.0,0.0,0.32047625724226236,0.12958580255508423,0.7556512653827667,0.24114266503602266
S8,0.0,0.0,0.36116939783096313,0.0,0.7833460525143892,0.22890309006907045
S11,0.0,0.0,0.4875114825554192,0.1618250012397766,0.4604720873758197,0.2219617142342031
E19_rol_rank_30,0.0,0.0,0.42183545557782054,0.07406020164489746,0.5909600406885147,0.21737113958224655
AE_34,0.0,0.0,0.2554899975657463,0.0,0.8285770998336375,0.21681341947987676
E20,0.0,0.0,0.6290947049856186,0.0,0.428012702614069,0.2114214815199375
P1,0.0,0.0,0.4662042036652565,0.23445500433444977,0.354155994951725,0.21096304059028625
AE_1,0.0,0.0,0.38285139948129654,0.25861498713493347,0.4096691105514765,0.2102270994335413
E1,0.0,0.0,0.37596260383725166,0.0,0.6672646841034293,0.20864545758813619
E9,0.0,0.0,0.5280619524419308,0.0,0.512584637850523,0.20812931805849075
P7_rol_mean_20,0.0,0.0,0.5131814032793045,0.0,0.4808013918809593,0.19879655903205276
M17,0.0,0.0,0.7839197106659412,0.0,0.20807633828371763,0.19839920978993178
V4,0.0,0.0,0.5783537155948579,0.0,0.4112354703247547,0.19791783718392253
P7_x_D5,0.0,0.0,0.32582900300621986,0.0,0.6535303965210915,0.19587187990546226
E3,0.04270710051059723,0.05852380022406578,0.3676515547558665,0.05908060073852539,0.4479656061157584,0.19518573246896267
P7_rol_mean_10,0.0,0.0,0.4565761052072048,0.04389680176973343,0.47351762373000383,0.19479810614138843
I9,0.06117530167102814,0.0,0.043446799740195274,0.0,0.8389631975442171,0.1887170597910881
AE_33,0.0,0.0,0.6652816012501717,0.032042600214481354,0.2228299006819725,0.18403082042932511
E2,0.0,0.0,0.014875500462949276,0.2112904004752636,0.6904460117220879,0.18332238253206015
S1,0.0,0.0,0.18671986181288958,0.05335419997572899,0.6700040050782263,0.18201561337336897
E19_rol_mean_50,0.04398160055279732,0.0,0.2931436002254486,0.0,0.5440753065049648,0.17624010145664215
E17,0.0,0.12016490288078785,0.29670020192861557,0.11916700005531311,0.3088635988533497,0.16897914074361325
E10,0.0,0.0,0.10239800438284874,0.0,0.715370886027813,0.16355377808213234
M10,0.0,0.0,0.3194924262352288,0.0,0.47753789997659624,0.159406065242365
M2,0.0,0.0,0.18960590288043022,0.0,0.6073978841304779,0.15940075740218163
AE_20,0.0,0.0,0.23604489862918854,0.2970789968967438,0.18349740467965603,0.14332426004111767
AE_24,0.0,0.0,0.5613581985235214,0.0,0.1252627968788147,0.13732419908046722
AE_3,0.0,0.08754420280456543,0.28508950024843216,0.0,0.30164819955825806,0.13485638052225113
E19_rol_std_50,0.0,0.0,0.15734148304909468,0.0,0.49913930147886276,0.1312961569055915
E8,0.0,0.10075800120830536,0.280181390728103,0.030758999288082123,0.2048693997785449,0.12331355820060708
D6,0.0,0.0,0.09304140135645866,0.0,0.4960876051336527,0.11782580129802227
AE_22,0.0,0.0,0.34993050433695316,0.0,0.22013059630990028,0.11401222012937069
