,0
E4,1.0
I4,1.0
E19,1.0
P12,1.0
P6,1.0
P7,1.0
M4,1.0
P4,1.0
P1,1.0
P3,1.0
P13,1.0
M3,1.0
S2_rol_std_20,1.0
S2_rol_std_10,1.0
S2_rol_mean_10,1.0
S2_diff1,1.0
P4_rol_mean_20,1.0
P4_rol_std_20,1.0
P4_rol_mean_50,1.0
P4_rol_std_50,1.0
M4_rol_rank_30,1.0
P4_diff1,1.0
P4_rol_mean_10,1.0
P4_rol_std_10,1.0
M4_rol_mean_10,1.0
M4_diff1,1.0
M4_rol_mean_20,1.0
M4_rol_std_10,1.0
V3,1.0
S6,1.0
S5,1.0
S2,1.0
P7_diff1,1.0
E19_rol_rank_30,1.0
E19_rol_std_10,1.0
E19_diff1,1.0
P7_rol_mean_20,1.0
P5,1.2
I3,1.2
P9,1.2
S2_rol_mean_50,1.2
I6,1.4
I7,1.4
M9,1.4
P4_rol_rank_30,1.4
S2_rol_std_50,1.4
V13,1.4
M4_rol_mean_50,1.4
E11,1.4
M15,1.4
E14,1.4
M4_rol_std_20,1.6
I2,1.6
M7,1.6
M11,1.6
V5,1.6
P7_rol_std_10,1.6
P7_rol_std_20,1.8
P7_rol_rank_30,1.8
I8,1.8
V7,2.0
I1,2.0
S2_rol_mean_20,2.0
P7_rol_mean_10,2.0
V4,2.0
S7,2.2
E19_rol_std_50,2.2
E2,2.2
S2_rol_rank_30,2.2
M12,2.2
E12,2.2
E13,2.4
E19_rol_std_20,2.4
E15,2.6
V2,2.6
P11,2.8
E19_x_D5,2.8
E19_rol_mean_10,3.2
S11,3.2
S4,3.2
E9,3.2
M10,3.2
E19_rol_mean_20,3.4
M8,3.4
M17,3.4
S2_x_D8,3.6
E6,3.6
E8,3.6
I9,3.8
E16,3.8
S10,3.8
E3,4.0
P10,4.0
S1,4.0
M4_rol_std_50,4.0
P2,4.0
S9,4.0
P7_rol_mean_50,4.2
E10,4.4
E18,4.4
P7_rol_std_50,4.6
M4_x_D5,4.6
E5,4.8
E19_rol_mean_50,4.8
M4_x_D9,4.8
P7_x_D5,4.8
P8,4.8
P4_x_D9,5.0
P7_x_D9,5.2
M18,5.2
E20,5.2
E19_x_D8,5.4
E17,5.4
S2_x_D9,5.4
P4_x_D8,5.4
I5,5.4
P4_x_D5,5.4
P7_x_D8,5.4
E1,5.6
S2_x_D5,5.6
M4_x_D8,5.8
D7,5.8
V6,6.0
D6,6.2
E19_x_D9,6.2
V8,6.4
V12,6.4
D9,6.6
D4,6.6
V1,6.6
M16,6.8
V11,6.8
D8,7.0
D5,7.0
D2,7.0
D1,7.0
D3,7.0
